Time Slot,Distance(m),FreeSpacePathLossWithoutAntennas(dB),Power(dBm),PathGain(dB),TransmissionLoss(dB),PathLoss(dB),ExcessPathLoss(dB),Phase(deg),FreeSpacePathLoss(dB),MeanTimeOfArrival(sec)
96,687.906,95.2262,-117.268,-124.219,124.219,124.219,23.0928,-149.957,101.126,2.67E-06
97,688.142,95.2292,-112.727,-119.677,119.677,119.677,18.3221,110.33,101.355,2.68E-06
98,688.374,95.2321,-113.384,-120.335,120.335,120.335,18.7629,12.4971,101.572,2.68E-06
99,688.603,95.235,-115.731,-122.682,122.682,122.682,20.8996,-88.4461,101.782,2.68E-06
100,520.412,92.8015,-85.8887,-92.839,92.839,92.839,-3.28627,76.6071,96.1253,1.74E-06
101,520.75,92.8071,-85.1632,-92.1136,92.1136,92.1136,-4.01848,-8.80727,96.132,1.74E-06
102,521.093,92.8129,-84.983,-91.9333,91.9333,91.9333,-4.20637,-109.168,96.1397,1.74E-06
103,521.44,92.8186,-85.0973,-92.0477,92.0477,92.0477,-4.10062,139.718,96.1483,1.74E-06
104,521.791,92.8245,-84.2415,-91.1918,91.1918,91.1918,-4.96611,19.4111,96.1579,1.75E-06
105,522.146,92.8304,-85.1139,-92.0643,92.0643,92.0643,-4.10422,-113.438,96.1685,1.75E-06
106,522.506,92.8364,-84.0982,-91.0485,91.0485,91.0485,-5.13156,100.084,96.1801,1.75E-06
107,522.869,92.8424,-84.4335,-91.3838,91.3838,91.3838,-4.80887,-52.6016,96.1927,1.75E-06
108,523.237,92.8485,-84.3169,-91.2673,91.2673,91.2673,-4.93903,147.205,96.2063,1.75E-06
109,523.609,92.8547,-84.1674,-91.1177,91.1177,91.1177,-5.10331,-25.8356,96.221,1.75E-06
110,688.828,95.2379,-126.573,-133.524,133.524,133.524,31.534,-175.238,101.99,2.68E-06
111,523.984,92.8609,-84.8848,-91.8352,91.8352,91.8352,-4.40161,154.923,96.2368,1.75E-06
112,524.364,92.8672,-84.5878,-91.5382,91.5382,91.5382,-4.71548,-34.9696,96.2536,1.75E-06
113,524.748,92.8736,-84.459,-91.4094,91.4094,91.4094,-4.86223,124.779,96.2716,1.76E-06
114,525.135,92.88,-85.2445,-92.1949,92.1949,92.1949,-4.09577,-83.1138,96.2907,1.76E-06
115,525.527,92.8865,-84.9639,-91.9142,91.9142,91.9142,-4.39668,53.3496,96.3109,1.76E-06
116,525.922,92.893,-84.96,-91.9103,91.9103,91.9103,-4.42197,-168.121,96.3323,1.76E-06
117,526.321,92.8996,-84.867,-91.8174,91.8174,91.8174,-4.53753,-49.1927,96.3549,1.76E-06
118,526.724,92.9063,-84.6361,-91.5865,91.5865,91.5865,-4.79222,66.675,96.3787,1.77E-06
119,527.131,92.913,-84.8076,-91.7579,91.7579,91.7579,-4.64579,174.372,96.4037,1.80E-06
120,527.542,92.9197,-83.6902,-90.6406,90.6406,90.6406,-5.78945,-97.7041,96.43,1.79E-06
121,689.049,95.2406,-124.375,-131.326,131.326,131.326,29.0968,-74.3535,102.229,2.69E-06
122,527.956,92.9266,-83.9615,-90.9119,90.9119,90.9119,-5.54575,-7.12267,96.4576,1.78E-06
123,528.374,92.9334,-85.1214,-92.0718,92.0718,92.0718,-4.41478,57.2662,96.4865,1.78E-06
124,528.796,92.9404,-84.2054,-91.1558,91.1558,91.1558,-5.36104,129.672,96.5168,1.77E-06
125,529.222,92.9474,-85.8519,-92.8023,92.8023,92.8023,-3.74622,178.874,96.5485,1.78E-06
126,529.652,92.9544,-84.3638,-91.3142,91.3142,91.3142,-5.26742,-129.522,96.5816,1.78E-06
127,530.085,92.9615,-86.1439,-93.0943,93.0943,93.0943,-3.52188,-80.8624,96.6162,1.78E-06
128,530.522,92.9687,-85.0036,-91.954,91.954,91.954,-4.6982,-57.553,96.6522,1.78E-06
129,530.962,92.9759,-85.9587,-92.909,92.909,92.909,-3.7807,-28.9312,96.6897,1.80E-06
130,531.407,92.9832,-86.4861,-93.4365,93.4365,93.4365,-3.29242,-19.007,96.7289,1.80E-06
131,531.855,92.9905,-86.1763,-93.1267,93.1267,93.1267,-3.64292,-9.18039,96.7696,1.81E-06
132,689.266,95.2434,-117.166,-124.117,124.117,124.117,21.5864,-109.022,102.53,2.70E-06
133,532.306,92.9979,-86.3014,-93.2518,93.2518,93.2518,-3.56023,-6.86082,96.812,1.80E-06
134,532.761,93.0053,-86.5089,-93.4592,93.4592,93.4592,-3.39686,-41.8387,96.8561,1.81E-06
135,533.22,93.0128,-87.5444,-94.4947,94.4947,94.4947,-2.40721,-47.3895,96.9019,1.81E-06
136,533.682,93.0203,-87.971,-94.9214,94.9214,94.9214,-2.02819,-80.407,96.9496,1.81E-06
137,534.147,93.0279,-87.6021,-94.5525,94.5525,94.5525,-2.44657,-113.826,96.999,1.82E-06
138,534.616,93.0355,-88.3234,-95.2737,95.2737,95.2737,-1.77664,-165.695,97.0504,1.82E-06
139,535.089,93.0432,-88.9735,-95.9239,95.9239,95.9239,-1.17978,139.226,97.1037,1.83E-06
140,535.564,93.0509,-89.4869,-96.4373,96.4373,96.4373,-0.721621,75.5424,97.1589,1.82E-06
141,536.043,93.0586,-89.4389,-96.3892,96.3892,96.3892,-0.82699,8.40091,97.2162,1.84E-06
142,536.526,93.0665,-90.5365,-97.4868,97.4868,97.4868,0.211181,-56.245,97.2756,1.83E-06
143,689.477,95.246,-115.475,-122.425,122.425,122.425,19.6045,-148.04,102.821,2.70E-06
144,537.011,93.0743,-92.8826,-99.833,99.833,99.833,2.49581,-153.636,97.3372,1.86E-06
145,537.5,93.0822,-89.496,-96.4464,96.4464,96.4464,-0.954496,120.832,97.4009,1.86E-06
146,537.992,93.0902,-89.7427,-96.6931,96.6931,96.6931,-0.77378,18.9113,97.4669,1.82E-06
147,538.487,93.0982,-90.7553,-97.7056,97.7056,97.7056,0.171019,-88.4669,97.5346,1.84E-06
148,538.986,93.1062,-90.3275,-97.2778,97.2778,97.2778,-0.313012,148.577,97.5908,1.81E-06
149,539.488,93.1143,-93.7967,-100.747,100.747,100.747,3.09895,26.6815,97.6481,1.82E-06
150,539.993,93.1224,-94.7624,-101.713,101.713,101.713,4.00633,-102.157,97.7064,1.84E-06
151,540.501,93.1306,-96.8397,-103.79,103.79,103.79,6.02434,116.741,97.7657,1.82E-06
152,541.011,93.1388,-100.257,-107.208,107.208,107.208,9.38175,-47.085,97.826,1.84E-06
153,541.525,93.1471,-106.089,-113.04,113.04,113.04,15.1523,-171.278,97.8873,1.82E-06
154,689.685,95.2487,-122.483,-129.434,129.434,129.434,26.3368,122.851,103.097,2.76E-06
155,542.041,93.1553,-113.753,-120.704,120.704,120.704,22.7542,-138.809,97.9496,1.83E-06
156,542.561,93.1637,-105.863,-112.813,112.813,112.813,14.8003,160.972,98.0129,1.84E-06
157,543.083,93.172,-106.926,-113.876,113.876,113.876,15.7986,29.2906,98.0773,1.93E-06
158,543.608,93.1804,-106.474,-113.424,113.424,113.424,15.2811,144.138,98.1428,1.95E-06
159,544.137,93.1889,-99.4855,-106.436,106.436,106.436,8.22656,-78.6603,98.2093,1.93E-06
160,544.668,93.1973,-99.0277,-105.978,105.978,105.978,7.70107,61.38,98.277,1.94E-06
161,545.202,93.2059,-100.824,-107.774,107.774,107.774,9.42851,-170.784,98.3458,1.93E-06
162,545.738,93.2144,-99.5228,-106.473,106.473,106.473,8.08557,-0.738183,98.3876,1.94E-06
163,546.277,93.223,-95.4128,-102.363,102.363,102.363,3.94546,163.415,98.4177,1.93E-06
